SNR;RAJ2000;DEJ2000;MajDiam;MinDiam;u_MinDiam;type;l_S(1GHz);S(1GHz);u_S(1GHz);Sp-Index;u_Sp-Index;Names;Simbad;recno
G069.0+02.7;19 53 20;+32 55; 80.0;     ;?;? ; ; 120.0;?;     ;v ;CTB 80                    ;Simbad;     129
G069.7+01.0;20 02 40;+32 43; 16.0; 14.0; ;S ; ;   2.0; ; 0.70;  ;                          ;Simbad;     130
G070.0-21.5;21 24 00;+19 23;330.0;240.0; ;S ; ;      ;?;     ;? ;                          ;Simbad;     131
G073.9+00.9;20 14 15;+36 12; 27.0;     ; ;S?; ;   9.0; ; 0.23;  ;                          ;Simbad;     132
G074.0-08.5;20 51 00;+30 40;230.0;160.0; ;S ; ; 210.0; ;     ;v ;Cygnus Loop               ;Simbad;     133
G074.9+01.2;20 16 02;+37 12;  8.0;  6.0; ;F ; ;   9.0; ; 0.30;  ;CTB 87                    ;Simbad;     134
G076.9+01.0;20 22 20;+38 43;  9.0;     ; ;C ; ;   2.0;?;     ;? ;                          ;Simbad;     135
G078.2+02.1;20 20 50;+40 26; 60.0;     ; ;S ; ; 320.0; ; 0.51;  ;DR4, gamma Cygni SNR      ;Simbad;     136
G082.2+05.3;20 19 00;+45 30; 95.0; 65.0; ;S ; ; 120.0;?; 0.50;? ;W63                       ;Simbad;     137
G083.0-00.3;20 46 55;+42 52;  9.0;  7.0; ;S ; ;   1.0; ; 0.40;  ;                          ;Simbad;     138
G084.2-00.8;20 53 20;+43 27; 20.0; 16.0; ;S ; ;  11.0; ; 0.50;  ;                          ;Simbad;     139
G085.4+00.7;20 50 40;+45 22; 24.0;     ;?;S ; ;      ;?; 0.20;  ;                          ;Simbad;     140
G085.9-00.6;20 58 40;+44 53; 24.0;     ; ;S ; ;      ;?; 0.20;  ;                          ;Simbad;     141
G089.0+04.7;20 45 00;+50 35;120.0; 90.0; ;S ; ; 220.0; ; 0.38;  ;HB21                      ;Simbad;     142
G093.3+06.9;20 52 25;+55 21; 27.0; 20.0; ;C?; ;   9.0; ; 0.45;  ;DA 530, 4C(T)55.38.1      ;Simbad;     143
G093.7-00.2;21 29 20;+50 50; 80.0;     ; ;S ; ;  65.0; ; 0.65;  ;CTB 104A, DA 551          ;Simbad;     144
G094.0+01.0;21 24 50;+51 53; 30.0; 25.0; ;S ; ;  13.0; ; 0.45;  ;3C434.1                   ;Simbad;     145
G096.0+02.0;21 30 30;+53 59; 26.0;     ; ;S ; ;   0.3; ; 0.60;  ;                          ;Simbad;     146
G106.3+02.7;22 27 30;+60 50; 60.0; 24.0; ;C?; ;   6.0; ; 0.60;  ;                          ;Simbad;     147
